SRR769395	SRR769395_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769395	SRR769395_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769396	SRR769396_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769396	SRR769396_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769397	SRR769397_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769397	SRR769397_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769398	SRR769398_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769398	SRR769398_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769399	SRR769399_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769399	SRR769399_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769400	SRR769400_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769400	SRR769400_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769401	SRR769401_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769401	SRR769401_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769402	SRR769402_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769402	SRR769402_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769403	SRR769403_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769403	SRR769403_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769404	SRR769404_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769404	SRR769404_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769405	SRR769405_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769405	SRR769405_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769406	SRR769406_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769406	SRR769406_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769407	SRR769407_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769407	SRR769407_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769408	SRR769408_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769408	SRR769408_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769409	SRR769409_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769409	SRR769409_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769411	SRR769411_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769411	SRR769411_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769412	SRR769412_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769412	SRR769412_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769413	SRR769413_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769413	SRR769413_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769414	SRR769414_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769414	SRR769414_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769415	SRR769415_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769415	SRR769415_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769416	SRR769416_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769416	SRR769416_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769417	SRR769417_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769417	SRR769417_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769418	SRR769418_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769418	SRR769418_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769419	SRR769419_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769419	SRR769419_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769420	SRR769420_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769420	SRR769420_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769421	SRR769421_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769421	SRR769421_paired_2.fastq.gz	pair2	noassembly	nobinning
SRR769422	SRR769422_paired_1.fastq.gz	pair1	noassembly	nobinning
SRR769422	SRR769422_paired_2.fastq.gz	pair2	noassembly	nobinning
