Feature ID	Taxon
NR_116512.1	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Photorhabdus;s__Photorhabdus hainanensis
NR_113330.1	k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Oceanobacillus;s__Oceanobacillus indicireducens
NR_109088.1	k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium muleiense
NR_109380.1	k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__Hydrotalea sandarakina
NR_146832.1	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio sonorensis
NR_148264.1	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio crosai
NR_145570.1	k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio mexicanus
NR_133048.1	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Neoscardovia;s__Neoscardovia arbecensis
NR_029360.1	k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Schleiferilactobacillus;s__Schleiferilactobacillus perolens
NR_025366.1	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia canis
NR_134043.1	k__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia iterans
NR_040917.1	k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga;s__Chitinophaga sancti
NR_113725.1	k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga;s__Chitinophaga sancti
NR_108584.1	k__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__Fimbriimonas ginsengisoli
NR_121726.1	k__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__Fimbriimonas ginsengisoli
